Symbol,LTP,High,Low,PreviousClose,Change,Last 10D avg Volume,Delivery %,Symbol P/E,3 months high,3 months low
STEL,0.0,0.0,0.0,0.0,0.0,6792.6,0,0.0,564.1,411.6
STLTECH,128.6,131.62,128.05,129.94,-1.34,1580264.6,43.08,0.0,148.55,127.39
SUBEXLTD,28.0,28.44,27.86,28.04,-0.04,4000217.8,41.32,0.0,35.83,27.99
SRM,260.0,262.0,251.0,253.95,6.05,25623.3,0,0.0,294.4,176.06
SRPL,1.1,1.13,1.06,1.12,-0.02,1695365.1,54.51,0.0,1.29,1.0
STANLEY,493.0,511.45,491.0,496.4,-3.4,118130.1,45.64,0.0,607.35,474.75
TATACHEM,1017.35,1035.8,1006.05,1030.85,-13.5,754919.7,42.41,0.0,"1,154.00","1,017.60"
WINSOME,4.21,4.26,4.1,4.19,0.02,58269.9,0,0.0,4.42,3.52
TVVISION,12.37,0.0,0.0,0.0,12.37,21248.3,0,0.0,14.01,6.75
21STCENMGM,0.0,0.0,0.0,0.0,0.0,17283.0,0,0.0,138.63,57.99
ZOTA,646.5,649.65,636.25,641.4,5.1,27475.9,54.1,0.0,691.7,557.1
3IINFOLTD,33.1,33.94,32.95,33.11,-0.01,605424.2,26.41,0.0,40.42,32.82
ZODIACLOTH,124.8,127.6,123.0,123.79,1.01,6900.2,0,0.0,171.99,114.44
ABAN,73.6,77.9,71.97,75.76,-2.16,116092.2,58.55,0.0,87.62,61.98
ABBOTINDIA,27858.95,28999.95,27502.75,28860.75,-1001.8,11327.1,28.2,0.0,"30,195.85","26,834.45"
ABDL,344.55,349.9,342.2,346.05,-1.5,1239871.9,46.15,0.0,359.95,285.85
ABFRL,333.65,335.75,326.6,328.1,5.55,4316046.9,54.13,0.0,343.7,309.15
ABMINTLLTD,56.54,0.0,0.0,0.0,56.54,406.4,0,0.0,71.3,56.54
ACCURACY,9.97,0.0,0.0,0.0,9.97,122543.9,0,0.0,13.75,9.95
ACL,89.23,91.0,88.81,90.26,-1.03,74325.2,69.16,0.0,99.52,87.27
WILLAMAGOR,37.61,38.5,37.11,37.62,-0.01,153418.0,50.74,0.0,39.73,33.86
WINDMACHIN,202.62,205.61,200.6,204.28,-1.66,327286.8,69.56,0.0,210.92,129.39
UNIVASTU,212.5,216.95,209.05,214.26,-1.76,26931.4,70.00,0.0,228.14,172.08
VIPCLOTHNG,42.81,44.5,42.51,43.67,-0.86,68694.4,0,0.0,51.32,34.87
EXICOM,329.4,338.0,327.0,336.3,-6.9,355196.7,0,0.0,518.85,329.3
EXXARO,82.9,83.73,82.2,82.5,0.4,54278.9,56.26,0.0,94.87,76.98
ENERGYDEV,24.8,25.6,24.32,25.6,-0.8,49541.3,0,0.0,31.23,22.56
ENTERO,1356.0,1450.0,1340.05,1393.2,-37.2,81632.6,50.54,0.0,"1,503.95","1,040.20"
EPACK,384.55,393.75,375.0,374.7,9.85,5520716.0,32.16,0.0,382.75,225.57
EROSMEDIA,18.27,19.19,17.85,17.88,0.39,410617.7,34.53,0.0,20.21,17.69
ELECTHERM,1026.5,0.0,0.0,0.0,1026.5,17511.1,0,0.0,997.60,"1,000.00"
ELGIRUBCO,0.0,0.0,0.0,0.0,0.0,30221.8,0,0.0,112.45,69.14
EMAMIREAL,113.78,113.78,107.5,108.37,5.41,64632.7,0,0.0,120.95,89.33
EMKAY,0.0,0.0,0.0,0.0,0.0,9170.2,0,0.0,202.03,155.13
A2ZINFRA,0.0,0.0,0.0,0.0,0.0,75859.3,0,0.0,23.4,15.87
AADHARHFC,460.0,464.0,451.8,455.5,4.5,1303825.5,48.71,0.0,476.85,383.9
AARVEEDEN,0.0,0.0,0.0,0.0,0.0,44011.9,0,0.0,50.49,26.56
TIPSFILMS,546.0,546.0,525.8,535.8,10.2,4783.5,63.63,0.0,614.85,464.25
UCAL,205.99,206.78,194.01,196.12,9.87,78231.5,50.09,0.0,207.94,155.17
UDAICEMENT,33.0,33.57,32.9,33.25,-0.25,590556.1,59.34,0.0,47.81,32.96
UFLEX,741.0,754.7,735.0,745.75,-4.75,141505.4,63.58,0.0,844.8,511.65
TTML,88.36,90.73,88.16,89.88,-1.52,6063916.2,34.52,0.0,106.07,74.89
TV18BRDCST,47.6,49.4,47.4,48.72,-1.12,9646336.7,38.0,0.0,51.59,40.83
TVSELECT,405.5,419.95,399.9,414.05,-8.55,26308.4,0,0.0,479.45,323.05
AKSHARCHEM,342.5,345.45,334.65,337.0,5.5,11780.3,62.72,0.0,366.05,265.85
AKSHOPTFBR,8.36,8.48,8.2,8.35,0.01,273300.4,65.68,0.0,9.67,8.14
ALKALI,125.3,129.8,123.2,128.36,-3.06,266956.1,62.7,0.0,154.1,113.3
TIRUPATIFL,37.47,0.0,0.0,0.0,37.47,664048.5,0,0.0,37.47,22.39
TNTELE,11.2,11.77,10.92,11.4,-0.2,17402.9,0,0.0,14.74,9.6
TREEHOUSE,20.9,21.45,20.16,20.97,-0.07,36628.3,89.6,0.0,28.57,20.82
THOMASCOTT,0.0,0.0,0.0,0.0,0.0,2643.3,0,0.0,297.8,225.1
TIJARIA,13.34,13.9,12.88,13.43,-0.09,42839.7,0,0.0,19.89,12.86
SIMBHALS,26.17,27.66,25.3,26.35,-0.18,31184.0,0,0.0,34.97,23.37
VALIANTORG,434.25,448.75,433.05,448.45,-14.2,163331.9,48.91,0.0,448.45,375.9
VARDMNPOLY,11.59,11.74,11.18,11.19,0.4,297044.7,0,0.0,12.96,8.26
VERANDA,331.0,350.5,329.0,343.55,-12.55,204864.3,0,0.0,349.1,176.97
UPL,604.9,614.75,598.95,610.65,-5.75,1942109.3,49.69,0.0,619.2,528.3
USK,60.92,0.0,0.0,0.0,60.92,133383.0,0,0.0,84.09,55.93
VALIANTLAB,122.29,126.95,119.51,125.08,-2.79,262791.5,51.0,0.0,152.3,108.14
AFIL,118.0,122.0,112.63,114.21,3.79,340354.6,49.94,0.0,133.35,94.61
AGROPHOS,43.85,44.95,43.4,43.95,-0.1,42236.5,52.47,0.0,50.83,42.49
AGSTRA,108.5,114.39,108.0,112.55,-4.05,2452732.7,39.98,0.0,117.43,78.43
AIIL,1665.0,1699.7,1650.05,1632.5,32.5,44724.0,49.79,0.0,996.85,"1,001.15"
UNICHEMLAB,653.0,667.7,650.05,659.1,-6.1,148513.7,42.06,0.0,668.8,516.05
UNIINFO,37.51,38.65,37.5,38.14,-0.63,18865.8,73.13,0.0,49.06,34.64
UNITECH,10.2,10.2,9.96,9.72,0.48,5299234.7,0,0.0,11.85,9.04
RHIM,588.4,597.0,585.0,591.05,-2.65,195450.7,61.92,0.0,673.7,574.2
BARBEQUE,621.9,638.0,617.0,626.35,-4.45,71880.4,58.08,0.0,664.25,523.75
PVP,0.0,0.0,0.0,0.0,0.0,276135.3,0,0.0,38.23,23.27
PVRINOX,1672.0,1718.75,1660.7,1669.9,2.1,696829.8,21.94,0.0,"1,689.90","1,383.75"
PVSL,225.0,228.78,219.65,221.03,3.97,96442.3,85.97,0.0,262.95,220.76
PRAXIS,23.6,0.0,0.0,0.0,23.6,884597.9,0,0.0,24.09,11.74
PREMIER,0.0,0.0,0.0,0.0,0.0,36894.8,0,0.0,5.8,3.8
PROZONER,27.83,28.9,27.72,28.47,-0.64,368763.5,57.43,0.0,33.74,27.9
PPAP,211.84,220.75,210.05,218.02,-6.18,18555.9,54.71,0.0,228.7,196.42
PPLPHARMA,228.4,233.3,228.0,232.5,-4.1,18070350.0,23.27,0.0,235.31,147.9
ROLLT,2.41,0.0,0.0,0.0,2.41,51622.1,0,0.0,4.82,2.29
RPOWER,32.97,32.97,32.97,31.4,1.57,29459054.2,100.0,0.0,36.3,26.94
RPTECH,390.3,407.6,390.0,405.8,-15.5,219773.5,64.13,0.0,452.35,325.1
RETAIL,40.2,41.89,38.8,40.41,-0.21,8321.1,0,0.0,54.71,36.81
RHFL,3.99,3.99,3.9,3.8,0.19,7188560.8,53.93,0.0,4.69,3.07
BANG,61.89,67.31,61.0,67.87,-5.98,135131.1,62.09,0.0,67.87,46.05
RKDL,0.0,0.0,0.0,0.0,0.0,9713.0,0,0.0,38.55,26.04
BAJAJHCARE,383.1,403.65,381.0,399.15,-16.05,281532.0,43.87,0.0,418.45,315.85
BAJAJHIND,38.68,39.95,38.6,38.93,-0.25,10010772.4,26.15,0.0,45.15,38.43
BAJEL,246.0,257.0,245.25,247.05,-1.05,221778.6,47.66,0.0,320.95,247.05
BALKRISHNA,25.99,27.49,25.57,27.05,-1.06,236545.8,30.93,0.0,27.73,22.9
RBZJEWEL,172.8,0.0,0.0,0.0,172.8,74272.0,0,0.0,172.8,125.91
REGENCERAM,0.0,0.0,0.0,0.0,0.0,11934.9,0,0.0,76.44,40.5
SPARC,219.69,225.65,217.7,224.23,-4.54,648957.1,54.75,0.0,251.43,212.5
RENUKA,47.24,49.9,47.01,46.98,0.26,8586850.2,20.5,0.0,52.16,44.39
RAMAPHO,200.0,202.45,198.97,199.89,0.11,23981.2,66.26,0.0,215.29,183.02
SAMPANN,30.0,32.0,29.56,30.95,-0.95,28927.9,0,0.0,40.26,29.88
SANGHIIND,86.5,87.36,85.8,86.76,-0.26,327909.5,55.22,0.0,103.75,86.25
SABTNL,733.15,0.0,0.0,0.0,733.15,853.8,0,0.0,733.15,211.08
SADBHAV,31.5,32.08,30.9,31.1,0.4,2836080.9,66.97,0.0,37.48,26.88
BAYERCROP,6451.6,6597.0,6393.0,6514.7,-63.1,23903.6,52.34,0.0,"6,956.50","6,158.70"
BESTAGRO,615.0,630.0,601.0,616.2,-1.2,99385.3,52.01,0.0,716.05,551.2
BFINVEST,599.0,617.5,594.3,613.3,-14.3,35645.4,53.77,0.0,699.55,558.95
BGRENERGY,48.43,0.0,0.0,0.0,48.43,87459.4,0,0.0,55.62,37.3
BHARATGEAR,106.35,107.25,106.0,106.76,-0.41,23104.0,77.25,0.0,116.58,106.65
BHARTIHEXA,1378.0,1408.45,1338.45,1373.2,4.8,588314.1,50.37,0.0,"1,381.00","1,047.60"
BHEL,264.6,268.0,262.75,264.85,-0.25,12375082.6,37.16,0.0,332.7,258.75
OILCOUNTUB,48.54,0.0,0.0,0.0,48.54,15414.7,0,0.0,56.3,37.0
OMAXE,111.98,116.49,110.0,113.97,-1.99,85902.2,0,0.0,162.31,96.12
PRAENG,40.41,41.8,40.21,40.59,-0.18,65711.4,0,0.0,44.56,30.55
PLATIND,378.05,388.75,374.15,382.25,-4.2,421985.1,42.47,0.0,430.3,196.92
PODDARHOUS,76.0,76.25,73.6,76.34,-0.34,3999.6,0,0.0,93.91,74.3
PFOCUS,138.0,141.9,138.0,139.25,-1.25,50055.1,0,0.0,157.84,99.94
PIGL,0.0,0.0,0.0,0.0,0.0,48792.6,0,0.0,188.33,72.85
BASML,64.02,65.65,63.39,65.08,-1.06,1205964.4,57.16,0.0,68.06,47.05
RELINFRA,282.73,282.73,239.36,235.61,47.12,12474349.0,22.4,0.0,282.73,175.17
PARKHOTELS,170.0,173.0,168.0,171.96,-1.96,163835.7,67.67,0.0,200.1,169.39
PARSVNATH,17.64,0.0,0.0,0.0,17.64,401872.0,0,0.0,19.82,11.5
PAYTM,675.05,703.25,665.0,664.4,10.65,14852628.6,19.58,0.0,682.15,401.75
PCJEWELLER,145.7,152.8,145.0,151.17,-5.47,10246629.1,49.53,0.0,151.17,50.59
PEL,1081.0,1105.15,1071.05,1090.85,-9.85,1188868.7,27.31,0.0,992.10,"1,004.60"
OSWALSEEDS,28.9,30.0,28.5,29.64,-0.74,385391.0,0,0.0,38.07,24.19
PALASHSECU,143.66,144.78,140.25,141.87,1.79,13843.3,31.86,0.0,163.71,130.2
PALREDTEC,100.0,104.85,98.5,101.11,-1.11,15424.7,0,0.0,120.05,86.8
RAMCOSYS,399.1,413.95,395.1,407.7,-8.6,115973.9,51.58,0.0,447.55,318.15
RBA,107.0,109.0,105.01,104.06,2.94,2892344.1,43.82,0.0,116.15,99.38
RAIN,181.65,188.55,181.1,183.27,-1.62,4157020.5,28.6,0.0,185.87,153.6
RAJTV,49.66,52.49,49.53,51.54,-1.88,22571.8,0,0.0,116.95,48.71
RAMANEWS,21.1,21.96,20.8,21.78,-0.68,156498.5,66.76,0.0,23.53,19.09
BALUFORGE,737.5,788.7,732.8,740.55,-3.05,940199.4,29.04,0.0,854.35,316.9
SHEMAROO,185.2,189.9,180.41,184.11,1.09,435813.1,36.44,0.0,197.61,144.89
SEMAC,438.0,454.75,425.0,445.7,-7.7,5974.4,0,0.0,626.7,436.75
ASTRON,23.9,24.5,23.55,23.89,0.01,61110.1,59.04,0.0,29.76,20.2
ATLANTAA,0.0,0.0,0.0,0.0,0.0,55633.2,0,0.0,60.73,40.0
AURUM,221.0,225.7,216.1,222.64,-1.64,70188.0,0,0.0,241.95,144.36
AUSOMENT,0.0,0.0,0.0,0.0,0.0,2871.1,0,0.0,104.9,90.0
SAURASHCEM,130.65,131.95,130.0,130.41,0.24,194225.1,67.15,0.0,142.29,121.08
SALSTEEL,26.0,26.9,25.75,26.58,-0.58,639975.8,46.09,0.0,28.3,18.74
SAMHI,209.8,212.0,207.1,211.69,-1.89,920294.8,56.64,0.0,217.75,174.69
SHYAMCENT,17.39,17.76,17.2,17.68,-0.29,337288.2,68.96,0.0,18.98,16.59
SHYAMTEL,13.75,14.2,13.7,14.21,-0.46,6175.2,0,0.0,18.35,13.99
SHANTI,16.27,16.52,16.21,16.52,-0.25,27367.2,55.70,0.0,16.81,14.77
SAGCEM,233.14,236.24,230.2,234.16,-1.02,56080.4,64.8,0.0,257.75,224.68
SHIVAMAUTO,49.5,49.5,47.52,48.97,0.53,88175.8,0,0.0,60.94,36.5
SHIVAMILLS,93.22,96.43,93.16,94.8,-1.58,26806.6,40.23,0.0,100.11,86.48
SHIVATEX,184.99,192.6,182.1,185.91,-0.92,130904.9,40.46,0.0,212.53,167.3
ASHIMASYN,35.41,0.0,0.0,0.0,35.41,80899.2,0,0.0,49.4,30.86
ASIANHOTNR,177.7,187.42,172.35,179.41,-1.71,2845.9,71.40,0.0,206.81,136.7
ASIANTILES,86.39,87.99,85.06,87.64,-1.25,1724672.7,38.85,0.0,94.3,72.04
ASKAUTOLTD,455.0,467.45,454.8,459.5,-4.5,209443.1,48.84,0.0,468.9,347.25
ASTEC,1250.4,1269.6,1242.5,1264.95,-14.55,28046.9,46.65,0.0,"1,458.40","1,157.35"
SETCO,12.3,0.0,0.0,0.0,12.3,44020.9,0,0.0,15.81,10.49
SEYAIND,0.0,0.0,0.0,0.0,0.0,15156.7,0,0.0,38.76,23.24
SGL,20.19,20.95,19.51,20.45,-0.26,45135.8,0,0.0,26.7,16.57
SCILAL,73.92,75.24,72.53,73.8,0.12,1273722.4,51.64,0.0,103.26,73.46
RKSWAMY,263.2,268.9,256.5,254.5,8.7,212365.4,62.07,0.0,310.85,235.95
SHAH,0.0,0.0,0.0,0.0,0.0,490631.9,0,0.0,7.02,3.93
RSWM,224.0,225.95,216.94,219.06,4.94,171405.3,46.18,0.0,264.05,187.49
AZAD,1504.5,1526.95,1501.65,1524.5,-20.0,160553.5,63.1,0.0,"1,981.80","1,505.30"
SABEVENTS,10.9,0.0,0.0,0.0,10.9,1900.2,0,0.0,13.24,8.48
S&SPOWER,412.25,0.0,0.0,0.0,412.25,1503.4,0,0.0,442.45,250.0
SHAHALLOYS,81.02,82.5,79.01,78.93,2.09,111727.7,53.47,0.0,83.02,58.11
AYMSYNTEX,189.43,0.0,0.0,0.0,189.43,25475.8,0,0.0,189.43,93.14
SHALPAINTS,142.2,149.05,142.2,144.97,-2.77,348383.8,58.15,0.0,153.65,133.63
AWFIS,716.85,730.0,707.4,725.05,-8.2,415467.8,39.49,0.0,899.9,491.1
SADBHIN,7.19,7.42,7.01,7.13,0.06,207796.7,0,0.0,8.09,5.55
SECURCRED,0.0,0.0,0.0,0.0,0.0,85294.1,0,0.0,12.65,5.7
SECURKLOUD,34.0,34.89,33.35,34.44,-0.44,38451.3,63.99,0.0,41.64,33.75
SELMC,60.0,61.98,59.11,62.05,-2.05,23989.4,0,0.0,81.1,51.22
RVHL,64.0,65.85,61.05,64.1,-0.1,48250.2,0,0.0,67.23,41.17
NAGAFERT,11.56,11.7,10.91,11.28,0.28,1665166.9,51.95,0.34,14.23,10.02
MAHAPEXLTD,173.88,175.99,167.01,171.94,1.94,10828.9,0,0.56,208.32,149.14
RTNPOWER,15.34,15.78,15.3,15.47,-0.13,10906259.4,70.55,0.87,18.3,15.13
GTL,13.61,13.95,13.46,13.83,-0.22,1811475.2,50.77,0.99,15.68,12.0
JISLDVREQS,37.01,38.49,36.9,37.68,-0.67,65586.6,62.34,1.13,44.0,35.22
BOMDYEING,208.25,214.65,206.53,211.74,-3.49,1293605.9,41.72,1.42,234.6,171.3
ZUARIIND,375.5,380.9,371.3,372.1,3.4,71802.5,50.52,1.61,415.35,325.25
VIPULLTD,0.0,0.0,0.0,0.0,0.0,2325485.7,70.28,2.02,50.49,30.29
ZEELEARN,9.15,9.5,9.15,9.64,-0.49,647445.1,0,2.06,11.22,7.6
INDIANCARD,284.0,285.1,281.0,281.75,2.25,4976.6,58.35,2.29,297.85,260.4
KAUSHALYA,914.35,914.35,878.55,906.85,7.5,628.0,0,2.69,989.25,"1,001.40"
INDSWFTLAB,140.0,144.44,135.0,140.34,-0.34,72513.3,0,2.85,176.72,112.05
NIPPOBATRY,590.0,603.95,586.05,591.55,-1.55,13148.4,54.57,2.96,616.6,556.2
HBSL,144.99,147.9,138.25,145.3,-0.31,5406.3,0,3.03,184.2,105.65
INDSWFTLTD,24.25,24.65,23.29,23.48,0.77,62581.4,57.66,3.17,27.07,19.06
NAVNETEDUL,148.1,152.07,148.0,150.15,-2.05,268847.2,51.43,4.21,173.04,148.49
VLSFINANCE,397.0,404.75,383.85,396.0,1.0,128959.4,48.23,4.23,416.8,262.75
MAITHANALL,1137.0,1141.45,1116.65,1120.05,16.95,47322.2,59.49,4.37,999.95,"1,001.35"
PRAKASHSTL,9.18,9.6,9.0,9.3,-0.12,424646.5,0,4.4,11.11,8.78
TREL,44.78,45.4,44.02,44.93,-0.15,397247.6,61.3,4.49,52.59,41.99
SAKHTISUG,38.9,39.32,38.6,39.27,-0.37,387756.9,39.98,4.87,42.0,36.35
SSWL,209.88,217.0,209.0,214.98,-5.1,245313.8,63.8,5.05,242.72,210.27
SATIN,207.93,219.0,205.27,209.2,-1.27,286724.5,37.28,5.1,245.12,204.05
MUTHOOTCAP,354.0,364.2,349.0,359.3,-5.3,136111.0,50.51,5.11,376.7,293.7
CHENNPETRO,878.0,891.9,873.0,877.35,0.65,651526.2,43.85,5.22,999.10,"1,001.90"
ESAFSFB,49.99,50.19,49.65,49.83,0.16,594150.1,61.4,5.25,56.36,49.32
SHREYANIND,260.7,270.0,259.2,264.3,-3.6,18850.8,67.77,5.26,331.3,257.25
SOMATEX,36.35,37.1,36.02,36.0,0.35,85752.3,53.70,5.43,37.21,33.2
LFIC,251.15,253.0,231.94,232.27,18.88,30999.7,44.61,5.58,249.56,203.38
SOUTHBANK,24.95,25.11,24.8,25.02,-0.07,8934096.8,51.55,5.64,28.52,24.07
LIBAS,20.03,20.45,19.65,20.09,-0.06,698749.1,42.38,5.78,21.24,16.85
SHRIRAMPPS,127.0,133.72,126.05,128.5,-1.5,3540373.2,38.22,5.8,144.82,98.76
ZUARI,198.06,201.02,195.36,198.91,-0.85,178085.9,54.56,5.84,234.01,188.76
CANBK,105.19,106.59,105.01,105.54,-0.35,27796381.8,53.91,5.85,121.2,101.75
J&KBANK,105.05,105.6,103.61,103.74,1.31,2679605.1,73.24,6.14,121.37,103.74
GMRP&UI,138.6,142.0,136.52,140.39,-1.79,5045344.7,63.86,6.26,147.18,83.89
GESHIP,1235.1,1259.9,1229.0,1255.05,-19.95,446180.5,55.25,6.29,"1,454.05","1,167.60"
STARPAPER,228.0,237.0,222.99,237.43,-9.43,23161.5,69.18,6.37,273.05,227.19
WSTCSTPAPR,613.3,617.95,610.0,612.3,1.0,157987.8,49.8,6.43,738.7,574.3
SATIA,114.96,116.48,113.85,116.47,-1.51,379164.3,49.72,6.54,139.84,114.36
SANDESH,1865.4,1899.0,1780.9,1789.6,75.8,55180.3,38.58,6.58,"1,969.20","1,338.70"
SATINDLTD,126.1,130.0,124.12,129.11,-3.01,3756561.2,49.4,6.58,137.26,87.8
UJJIVANSFB,42.64,43.23,42.52,42.86,-0.22,7371830.3,59.55,6.59,50.05,41.29
KTKBANK,231.6,234.49,230.51,233.59,-1.99,2199813.8,50.37,6.6,243.22,215.14
BANKBARODA,237.4,240.9,237.1,239.5,-2.1,12057683.8,47.67,6.63,285.2,232.8
KEYFINSERV,262.5,269.95,256.0,262.65,-0.15,9551.5,33.44,6.66,308.3,167.9
UNIONBANK,122.95,124.3,122.29,124.13,-1.18,10133257.8,55.35,6.73,147.25,116.7
KCPSUGIND,55.2,57.49,54.0,55.87,-0.67,545415.0,0,7.07,59.97,44.09
DCBBANK,121.1,122.45,120.5,122.45,-1.35,1002822.9,60.67,7.1,143.43,115.98
HUHTAMAKI,380.4,401.0,380.0,400.15,-19.75,143537.5,46.82,7.12,440.25,333.4
TMB,493.3,497.85,486.3,494.65,-1.35,196913.6,46.06,7.13,494.65,447.1
INTLCONV,93.0,96.26,91.0,93.6,-0.6,888531.0,39.94,7.4,93.6,76.5
PFC,491.25,500.5,486.35,482.45,8.8,11819859.2,28.48,7.43,570.6,474.05
DBREALTY,185.5,191.0,185.0,189.71,-4.21,1647835.5,48.47,7.64,225.83,186.05
BANKINDIA,110.69,112.42,110.5,112.28,-1.59,5131018.0,51.35,7.72,126.24,110.76
NRAIL,402.75,412.7,394.5,403.95,-1.2,12891.4,81.15,7.79,527.35,395.0
LICHSGFIN,674.7,686.45,672.3,674.9,-0.2,4555670.1,35.52,7.82,816.35,637.15
ONGC,289.8,297.8,287.9,294.65,-4.85,20623567.7,34.23,7.89,341.75,267.0
MANAPPURAM,210.0,212.14,208.46,210.84,-0.84,4744383.5,38.89,7.91,228.32,190.26
IOC,168.35,171.06,167.6,170.51,-2.16,19683222.1,43.86,7.93,182.95,163.58
INDIANB,506.25,522.65,504.15,519.75,-13.5,2272291.1,81.14,7.94,608.8,505.05
KUANTUM,144.97,147.0,142.88,143.47,1.5,114587.8,53.83,7.98,175.53,140.6
OCCL,264.95,268.0,258.0,266.4,-1.45,18919.4,0,8.07,809.8,209.5
SMCGLOBAL,161.93,167.0,160.1,163.56,-1.63,659397.8,51.87,8.1,171.97,141.29
BPCL,335.7,339.9,334.45,338.4,-2.7,10768072.6,39.4,8.12,626.25,296.3
EMAMIPAP,127.34,129.06,125.38,129.06,-1.72,58138.9,52.51,8.15,147.26,116.4
JKPAPER,456.4,464.5,452.85,464.85,-8.45,703701.6,50.43,8.19,633.75,439.7
SURYODAY,183.7,187.99,182.55,187.2,-3.5,341539.3,60.44,8.34,206.08,177.03
SASTASUNDR,307.6,312.7,306.0,310.6,-3.0,25112.0,63.26,8.41,372.8,295.95
REPCOHOME,543.9,559.55,538.3,557.35,-13.45,361984.1,49.93,8.48,568.55,452.05
ANDHRAPAP,107.4,108.6,106.3,107.5,-0.1,467133.3,68.04,8.59,620.35,105.9
GICHSGFIN,249.9,255.58,245.0,252.9,-3.0,1560764.9,33.34,8.59,270.48,226.15
COALINDIA,487.0,493.6,486.15,488.5,-1.5,8906326.7,59.05,8.61,540.4,467.05
AHLEAST,142.95,143.8,140.11,142.15,0.8,26111.9,74.43,8.63,143.67,127.25
ASHOKAMET,19.66,20.19,19.61,19.83,-0.17,59625.4,67.57,8.73,21.14,18.72
CHOLAHLDNG,1950.05,2017.0,1914.55,1974.3,-24.25,404983.3,59.37,8.82,"1,974.30","1,280.55"
FUSION,308.4,311.5,305.05,307.75,0.65,189076.9,53.87,8.9,474.35,284.55
TIL,340.0,353.0,321.9,338.75,1.25,31969.8,0,8.96,426.65,269.05
PNCINFRA,447.0,456.4,446.25,455.7,-8.7,479624.0,48.41,8.97,529.7,443.85
MANAKSIA,103.4,108.58,102.32,104.58,-1.18,530404.9,25.17,9.12,108.56,91.83
JMA,106.2,107.35,105.06,106.01,0.19,23876.4,47.03,9.19,116.05,101.34
MAWANASUG,117.49,121.0,115.65,115.28,2.21,226455.1,31.33,9.26,131.77,104.77
MENONBE,135.4,141.9,124.01,120.33,15.07,390320.0,20.15,9.31,150.5,120.33
EIDPARRY,813.2,826.45,805.35,822.8,-9.6,378951.5,48.91,9.38,844.95,750.1
MAHABANK,59.25,60.0,58.95,59.81,-0.56,6247725.3,47.12,9.48,68.75,58.54
IMFA,668.85,670.0,655.0,663.1,5.75,65712.5,59.55,9.54,806.2,625.1
PRAKASH,181.7,188.95,180.18,186.66,-4.96,2462143.6,59.14,9.57,231.4,173.32
BBTC,2687.0,2741.15,2680.3,2745.8,-58.8,147305.0,42.25,9.67,"2,750.10","1,621.55"
GOACARBON,819.0,848.0,794.45,803.5,15.5,194509.4,22.0,9.69,835.75,698.75
GICRE,392.6,396.9,392.6,394.05,-1.45,1862243.4,68.21,9.72,429.95,372.15
GRAPHITE,586.25,594.8,533.0,536.4,49.85,2501475.8,16.59,9.78,594.4,486.65
RECLTD,545.8,563.25,543.1,544.85,0.95,9233069.0,24.17,9.8,645.8,506.7
PDMJEPAPER,117.0,118.9,116.05,118.78,-1.78,198297.8,58.39,9.85,132.36,101.25
RUCHIRA,134.22,139.59,134.15,139.5,-5.28,228015.7,52.42,9.86,150.55,128.94
SPANDANA,605.5,616.0,602.6,608.2,-2.7,151772.2,56.78,9.92,773.2,588.0
UTKARSHBNK,46.78,47.99,46.66,47.57,-0.79,1346602.9,65.78,9.93,53.3,46.77
SESHAPAPER,351.15,357.8,349.0,354.15,-3.0,52498.0,42.1,9.94,367.05,331.9
PONNIERODE,470.0,478.55,467.5,475.75,-5.75,37812.8,46.03,9.97,586.25,462.1
NATHBIOGEN,216.35,223.19,216.21,219.47,-3.12,18804.8,0,9.97,257.79,200.36
GSPL,401.7,406.0,396.05,406.15,-4.45,3538780.7,59.67,10.07,460.4,296.35
JPPOWER,17.23,17.48,17.19,17.34,-0.11,14980883.6,65.04,10.08,20.14,17.19
SBIN,790.75,794.75,782.0,782.9,7.85,16350124.4,47.41,10.11,893.55,768.6
KARURVYSYA,210.7,214.64,210.1,214.94,-4.24,957139.9,63.45,10.14,231.81,191.82
RBLBANK,211.25,218.4,210.65,216.28,-5.03,5017931.1,41.75,10.17,269.55,205.67
MAHSEAMLES,652.3,676.25,651.95,671.2,-18.9,251980.9,62.81,10.17,691.6,576.4
MANGCHEFER,127.25,129.29,125.7,128.65,-1.4,187762.6,56.52,10.2,138.24,121.11
CSBBANK,321.3,324.25,318.3,323.2,-1.9,330051.5,61.26,10.23,382.25,310.8
HINDPETRO,406.0,410.85,405.0,408.7,-2.7,7557388.0,36.66,10.37,523.8,327.9
RTNINDIA,81.55,84.7,81.4,82.84,-1.29,11258322.5,33.93,10.43,86.2,71.54
ASHOKA,241.85,249.31,241.0,248.55,-6.7,4221566.5,52.24,10.58,271.12,220.81
CHEVIOT,1425.0,1451.0,1424.0,1443.35,-18.35,5287.8,63.23,10.67,"1,569.80","1,360.45"
AHLADA,112.16,114.99,111.81,114.16,-2.0,77158.0,64.07,10.67,123.64,100.39
TATAMOTORS,959.2,983.7,957.15,974.95,-15.75,16816050.3,55.24,10.69,998.20,"1,001.80"
CLSEL,245.1,250.0,237.13,238.9,6.2,275301.2,38.41,10.69,254.09,204.76
NMDC,212.4,214.28,209.45,214.66,-2.26,8291883.9,42.88,10.71,273.25,206.79
GOLDENTOBC,42.95,43.0,41.01,42.48,0.47,3351.2,0,10.82,47.85,40.07
